Column1;Column2;Column3;Column4
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-sicurezza/videocamere-smart;7988;1701;2,12944E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/stampa/carta-fotografica;7809;1675;2,14496E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/connected-tv/now-tv;4687;625;1,33348E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/sex-toys/dildo-design;4669;625;1,33862E+15
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=VOL_25_270319_mate20lite";21859;5234;2,39444E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/microsoft-xbox-360/accessori-xbox-360;4523;578;1,27791E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/giochi/giocattoli;5164;780;1,51046E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-del-corpo-e-viso/idromassaggiatori-piedi;5585;929;1,66338E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/sony-playstation-4;8181;1705;2,0841E+15
https://www.mediaworld.it/catalogo/telefonia/smartphone-e-cellulari/pellicole-smartphone;7705;1661;2,15574E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/schede-di-memoria;7772;1703;2,1912E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/accessori-tv;8230;1701;2,06683E+16
https://www.mediaworld.it/catalogo/telefonia/smartphone-e-cellulari/schede-di-memoria-smartphone;6613;1266;1,91441E+15
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/sex-toys/vibratori;7910;1683;2,12769E+16
https://www.mediaworld.it/catalogo/telefonia/smartphone-e-cellulari/power-bank;7702;1665;2,16178E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/obiettivi-mirrorless/zoom-mirrorless;7185;1378;1,91788E+15
https://www.mediaworld.it/catalogo/foto-e-videocamere/action-cam/supporti-action-cam;7300;1511;2,06986E+14
https://www.mediaworld.it/catalogo/computer-e-smart-home/ufficio/calcolatrici;6833;1354;1,98156E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cottura-cibi/macchine-pane;6245;1129;1,80785E+16
https://www.mediaworld.it/catalogo/telefonia/telefonia-fissa/telefoni-cordless;8411;1713;2,03662E+16
https://www.mediaworld.it/catalogo/telefonia/indossabili/sportwatch;6832;1320;1,93208E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/obiettivi-mirrorless/fisheye-mirrorless;4776;637;1,33375E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/stampa/stampanti-multifunzione;8036;1713;2,13166E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia/aspirabriciole;7408;1513;2,04239E+16
https://www.mediaworld.it/product/p-752207/bosch-vario-style-kgn39ij3a;4184;489;1,16874E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/periferiche-pc-e-accessori/casse-pc;7931;1705;2,14979E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-comfort/google-home;5161;774;1,49971E+15
https://www.mediaworld.it/mw/informazioni/dji-droni;2579;391;1,51609E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/preparazione-cibi/yogurtiere-e-gelatiere;6867;1339;1,94991E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/fai-da-te/illuminazione;7832;1687;2,15398E+16
https://www.mediaworld.it/mw/stampa-foto/stampa-foto;2419;410;1,69492E+15
https://www.mediaworld.it/catalogo/telefonia/iphone/iphone;8459;1714;2,02624E+15
https://www.mediaworld.it/mw/mediaworld-it/informazioni/servizi-installazione;2494;371;1,48757E+14
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/riscaldamento;8088;1697;2,09817E+15
https://www.mediaworld.it/catalogo/foto-e-videocamere/accessori-fotografia/stampanti-a-sublimazione;5363;837;1,56069E+16
https://www.mediaworld.it/catalogo/telefonia/indossabili/accessori-indossabili;4699;632;1,34497E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/preparazione-cibi/kitchen-machine;8218;1737;2,11365E+16
https://www.mediaworld.it/catalogo/telefonia/smartphone-e-cellulari/accessori-smartphone;7897;1672;2,11726E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/accessori-tv/telecomandi;7857;1692;2,15349E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/auricolari/auricolari-con-microfono;8389;1713;2,04196E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/acqua;8151;1735;2,12857E+14
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/baby-care/scaldapappe;4854;682;1,40503E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/mobilita-elettrica/skateboard-elettrici;4553;580;1,27389E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-sicurezza/kit-allarme-smart-e-gateway;4867;683;1,40333E+16
https://www.mediaworld.it/mw/mediaworld-it/informazioni/multiservice;2369;349;1,4732E+16
https://www.mediaworld.it/mw/informazioni/news-anteprime;2439;347;1,42271E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/accessori-casa/purificatori-aria;7587;1605;2,11546E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio/digital-radio;5473;907;1,65723E+15
https://www.mediaworld.it/product/p-753811;5308;858;1,61643E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/congelatori;10056;1709;1,69948E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/mac/macbook;6516;1157;1,77563E+16
https://www.mediaworld.it/product/p-746165;4626;641;1,38565E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio/lettori-mp3;7987;1694;2,12095E+16
https://www.mediaworld.it/mw/mediaworld-it/informazioni/biglietteria;2403;355;1,47732E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/salute-e-benessere/elettrostimolatori;4550;584;1,28352E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/macchine-fotografiche/fotocamere-mirrorless;8560;1737;2,02921E+16
